depmap_id,DASATINIB,OLAPARIB,IMATINIB,ERLOTINIB,FULVESTRANT,AFATINIB,BICALUTAMIDE,FTY-720,5-FLUOROURACIL,BELINOSTAT,PAZOPANIB,OXALIPLATIN,ALPELISIB,TAMOXIFEN,VINORELBINE,IBRUTINIB,RUXOLITINIB,TEMOZOLOMIDE,DABRAFENIB,DOXORUBICIN,ZOLEDRONATE,OSIMERTINIB,ALECTINIB,VINCRISTINE,CETUXIMAB,VINBLASTINE,TENIPOSIDE,TEMSIROLIMUS,TALAZOPARIB,IRINOTECAN,GEFITINIB,VORINOSTAT,CYCLOPHOSPHAMIDE,CRIZOTINIB,DOCETAXEL,SORAFENIB,AXITINIB,NILOTINIB,SUNITINIB,FLUDARABINE,TOPOTECAN,PONATINIB,MIDOSTAURIN,SN-38,BLEOMYCIN,GEMCITABINE,IDELALISIB,TRAMETINIB,LEFLUNOMIDE,ETOPOSIDE,PANOBINOSTAT,DACTINOMYCIN,CAMPTOTHECIN,CYTARABINE,MITOXANTRONE,PALBOCICLIB,CABOZANTINIB,METHOTREXATE,VENETOCLAX,PYRIMETHAMINE,LAPATINIB,CISPLATIN,BORTEZOMIB,TRETINOIN,PEMETREXED,LENALIDOMIDE,PACLITAXEL,MITOMYCIN-C,BEXAROTENE,CARMUSTINE,EPIRUBICIN
ACH-000001,0.8359030000000001,0.979953,0.4067,0.8756700000000001,0.981554,0.925724,0.774483,0.8357469999999999,0.94922,0.972209,0.984736,0.979673,0.979845,0.983405,0.970728,0.752417,0.8204600000000001,0.978217,-99999.0,0.961365,0.967476,0.886501,0.984723,0.936928,0.4689529999999999,0.970129,0.818286,0.857094,0.977589,0.938118,0.982681,0.984706,0.984736,0.946972,0.976822,0.981534,0.971775,-99999.0,0.961312,0.8285299999999999,0.984639,0.978897,0.8725700000000001,0.977859,0.984135,0.959289,0.6067560000000001,0.971837,0.98797,-99999.0,0.8107,0.938268,0.982459,0.984481,0.95941,0.974817,0.954281,0.978454,0.6825600000000001,0.8801379999999999,0.984736,0.8248530000000001,0.967741,0.587643,0.984736,0.552002,0.593803,0.942588,0.984023,0.898775,0.915893
ACH-000002,0.890106,0.937814,0.199376,0.908278,0.937194,0.871439,0.721046,0.861613,0.947982,0.961984,0.300969,0.975386,0.988078,0.930497,0.90696,0.700873,0.8721610000000001,0.8343719999999999,0.979975,0.911447,0.978952,0.855878,0.930581,0.988597,0.34613,0.768667,0.768147,0.945112,0.883373,0.943244,0.981692,0.8846120000000001,0.964587,0.7497560000000001,0.917428,0.818275,0.97981,0.8352729999999999,0.982672,0.794347,0.952693,0.878705,0.987583,0.974304,0.984915,0.990046,0.7037899999999999,0.980744,0.967428,0.806873,0.93108,0.876799,0.98849,0.757468,0.979383,0.958238,0.969876,0.749582,0.57034,0.8204229999999999,0.987108,0.636518,0.507618,0.725457,0.876653,0.669044,0.4241069999999999,0.88123,0.972783,0.901212,-99999.0
ACH-000004,0.96032,0.994742,0.06923,0.847591,0.98265,-99999.0,0.987314,-99999.0,0.993615,0.985953,0.131865,-99999.0,0.989027,0.88631,0.901564,-99999.0,-99999.0,0.6659079999999999,0.942356,-99999.0,0.978651,0.8566290000000001,0.8297399999999999,0.921654,0.818,0.717514,0.8814120000000001,-99999.0,-99999.0,0.959334,0.992572,0.952438,0.988945,0.864122,0.948701,0.88926,0.993851,0.279775,0.97684,0.786292,0.910041,0.892034,0.990483,0.982607,0.990028,0.983345,-99999.0,0.953054,0.990431,0.891323,0.817653,0.803808,0.99349,0.394445,0.989741,0.825435,-99999.0,0.99206,0.56309,0.986943,0.991218,0.6762600000000001,0.988553,0.861757,0.824859,0.545129,0.766721,0.957742,0.953486,-99999.0,-99999.0
ACH-000006,0.690723,0.972421,0.4128229999999999,0.827889,0.964543,0.740995,0.7477060000000001,0.695995,0.964677,0.936944,0.390396,0.971261,0.944716,0.741392,0.8898229999999999,0.6206649999999999,0.746995,0.8775930000000001,0.922281,0.989312,0.903231,-99999.0,0.833191,0.962076,0.42308,-99999.0,0.8911,0.518748,0.975992,0.8067489999999999,-99999.0,0.912041,0.731089,0.8464,0.758679,0.786729,-99999.0,0.649373,0.943643,0.340221,0.798329,0.8560620000000001,0.958657,0.869133,0.295254,-99999.0,0.542986,0.978235,0.960529,0.719978,0.398738,0.788618,-99999.0,0.597584,0.980937,0.905381,0.948798,0.939297,0.50694,0.543593,0.971035,-99999.0,0.7879729999999999,0.8309989999999999,0.7326,0.550741,0.4151069999999999,0.8132060000000001,0.8531299999999999,0.989454,-99999.0
ACH-000007,0.7040930000000001,0.942457,0.719028,0.955239,0.966151,-99999.0,0.978851,-99999.0,0.8540780000000001,0.928897,0.562025,-99999.0,0.980549,0.808003,0.96306,-99999.0,-99999.0,0.967669,0.960112,-99999.0,0.974537,0.773366,0.6478149999999999,0.879057,0.509592,0.894333,0.8025899999999999,-99999.0,-99999.0,0.972631,0.979839,0.984906,0.908282,0.912276,0.950911,0.871401,0.983472,0.704641,0.965971,0.930938,0.8844110000000001,0.7858510000000001,0.976057,0.988673,0.973489,0.970761,0.545507,0.988036,0.98356,0.868123,0.774857,0.954743,0.967149,0.755134,0.977837,0.976327,-99999.0,0.705001,0.646068,0.746149,0.982274,0.7840229999999999,0.306996,0.603438,0.945083,0.6231770000000001,0.786659,0.6194890000000001,0.977546,-99999.0,0.9558
ACH-000008,0.8375440000000001,0.969249,0.712554,0.647927,0.926962,0.824276,0.933105,0.8364440000000001,0.979834,0.977427,0.509085,0.96775,0.953681,0.957866,0.956313,0.672385,0.848555,0.8684959999999999,0.7929069999999999,0.983936,0.971055,0.8214629999999999,0.8321879999999999,0.930799,0.823984,0.950959,0.664168,0.863117,0.973642,0.725122,0.963687,0.970455,0.97814,0.869871,0.901454,0.772501,0.979731,0.337167,0.969977,0.539684,0.936299,0.848086,0.943168,0.858296,0.977859,0.98744,0.6517430000000001,0.967921,0.964771,0.8359549999999999,0.636293,0.910196,0.977529,0.799411,0.902044,0.978408,0.970984,0.53655,0.56972,0.830781,0.9777,0.7844899999999999,0.6092989999999999,0.8362430000000001,0.970265,0.37334,0.713182,0.751326,0.959739,0.94032,0.764177
ACH-000009,0.8864920000000001,0.934916,0.855459,0.934999,0.967317,0.8784870000000001,0.881293,0.604989,0.819141,-99999.0,0.4570369999999999,0.953554,0.982031,0.936587,0.960357,0.658108,0.805543,0.928764,0.918243,0.975667,0.8979370000000001,0.8779170000000001,0.975253,0.929967,-99999.0,0.942791,-99999.0,0.8362940000000001,0.946204,0.904498,0.977009,0.984024,0.974742,0.898601,0.956633,0.983798,0.969787,0.8062060000000001,0.974135,0.768267,0.975852,0.8486239999999999,-99999.0,0.960745,0.982186,0.977398,0.776768,0.959975,0.913967,0.8464659999999999,0.729182,0.984855,0.973622,0.903823,0.983669,0.966504,0.953051,0.92626,0.616156,0.784335,0.980561,0.905218,0.8470610000000001,-99999.0,0.974223,0.5102800000000001,0.900836,0.8442559999999999,0.928641,0.85441,0.909333
ACH-000012,0.4551729999999999,0.944958,0.8614059999999999,0.706862,0.968902,0.922185,0.91822,0.864217,-99999.0,0.932181,0.535037,0.950981,0.977421,0.970317,0.928334,0.7774300000000001,0.62373,0.951802,-99999.0,0.981763,0.938858,0.8879090000000001,0.967465,0.5009899999999999,0.906611,0.944494,0.7190979999999999,0.919241,0.969308,0.917381,0.968074,0.972089,0.970459,0.917741,0.970523,0.970577,0.921698,-99999.0,0.967474,0.70116,0.981997,0.821464,0.92583,0.973214,0.983193,0.954787,0.699134,0.851541,0.979407,-99999.0,0.753993,0.978949,0.960901,0.949315,0.948019,0.901678,0.978215,0.956017,0.705806,0.8501770000000001,0.984071,0.8405229999999999,0.934173,0.631641,0.980458,0.5102140000000001,0.878266,0.864323,0.841339,0.919363,-99999.0
ACH-000015,0.885158,0.988041,0.688211,0.959548,0.8499190000000001,0.958272,0.957854,0.986229,0.984787,0.967888,0.305795,0.986335,0.969783,0.967021,0.662824,0.731161,0.770501,0.980785,0.903716,0.963302,0.937194,0.8617469999999999,0.927449,0.986093,0.469618,0.953935,0.781157,0.953687,0.955386,0.90459,0.962632,0.981637,0.98541,0.926604,0.981244,0.8599969999999999,0.973579,0.7028840000000001,0.987236,0.895323,0.981963,0.931553,0.85041,0.94016,0.987373,0.981755,0.735345,0.971763,0.977162,0.946756,0.795622,0.8795370000000001,0.968742,0.8314879999999999,0.931063,0.959011,0.986807,0.934828,0.749889,0.96813,0.97842,0.8749389999999999,0.8771690000000001,0.416969,0.931833,0.360309,0.574918,0.875833,0.982007,0.947805,-99999.0
ACH-000018,0.96596,-99999.0,0.979113,0.93781,0.787929,-99999.0,0.8767940000000001,-99999.0,-99999.0,0.963605,0.612578,-99999.0,0.983678,0.954611,0.93186,-99999.0,-99999.0,0.753837,-99999.0,-99999.0,0.894658,-99999.0,0.8632139999999999,-99999.0,0.842598,-99999.0,0.8626290000000001,-99999.0,-99999.0,0.811481,-99999.0,0.958701,0.976526,0.951177,0.951658,0.922701,-99999.0,-99999.0,0.981121,0.912543,0.977004,0.8634729999999999,0.982028,0.985527,0.98406,-99999.0,-99999.0,0.897225,0.950333,-99999.0,0.648894,-99999.0,-99999.0,0.7395229999999999,0.9297,0.984258,-99999.0,0.709005,0.382281,-99999.0,0.982155,-99999.0,0.417827,0.820274,0.96941,0.528614,0.469232,0.94534,0.952487,-99999.0,0.8565719999999999
