Sample,5FU,ABRAXANE,BGJ398,BINIMETINIB,BINIMETINIB-3.5MPK,BKM120,BYL719,CETUXIMAB,CGM097,DACARBAZINE,ENCORAFENIB,ERLOTINIB,GEMCITABINE-50MPK,HDM201,HSP990,INC280,INC424,LDE225,LDK378,LEE011,LGH447,PACLITAXEL,TAMOXIFEN,TRAMETINIB,TRASTUZUMAB,WNT974
X-1004,,,1.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,
X-1008,,,0.0,0.0,,,1.0,,0.0,,,,,0.0,,,0.0,,,,,1.0,0.0,,0.0,
X-1027,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-1119,1.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-1156,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-1167,,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-1172,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,,,,
X-1173,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-1199,,0.0,,1.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,1.0,,
X-1270,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-1289,,0.0,,,0.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,,,0.0,,,,1.0,,0.0
X-1290,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-1298,,,0.0,0.0,,1.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,0.0,
X-1303,,,,,,0.0,,1.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-1317,,,,0.0,1.0,,,,,,,,0.0,,,,,,,0.0,,,,,,
X-1323,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-1329,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,,
X-1362,,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,1.0,,0.0
X-1371,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-1383,,,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-1407,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-1441,,,,,,1.0,,,0.0,,0.0,,,,,,,,,,,,,,,
X-1442,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-1443,,,,0.0,,0.0,0.0,1.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-1468,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,0.0,
X-1479,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-1499,,,0.0,0.0,,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,,
X-1500,,,,,,1.0,,1.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-1536,,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,1.0,,,,,,
X-1538,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,
X-1586,,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,,
X-1600,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-1631,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,
X-1655,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-1658,,,0.0,0.0,,,0.0,0.0,0.0,,,1.0,,,,0.0,,,,0.0,0.0,,,,,
X-1683,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
X-1725,,,0.0,,,,0.0,0.0,,,,0.0,,1.0,1.0,0.0,,,,,,,,,,
X-1787,,,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,
X-1823,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-1828,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,
X-1832,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,
X-1834,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,,,,
X-1835,,,0.0,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,1.0,,0.0,,,,
X-1855,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-1906,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,0.0
X-1916,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-1921,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,
X-1934,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-1948,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0
X-1959,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,
X-1980,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,0.0,,0.0,,,,
X-1993,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-2017,,,0.0,1.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-2026,,,,,,0.0,,,,,,,1.0,0.0,,,0.0,,,,,,,,,0.0
X-2042,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,1.0,,,,,0.0,,0.0,,,,
X-2043,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,
X-2081,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0
X-2082,,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,1.0,0.0,0.0,,,,
X-2088,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,1.0,,,,,
X-2094,,,0.0,1.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,
X-2145,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,
X-2163,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0
X-2182,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-2195,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,0.0,
X-2220,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
X-2239,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
X-2283,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-2306,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,0.0
X-2339,,0.0,,0.0,1.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0
